EPOCH,AMOUNT
211,3628713604
212,3624706367
213,4772489832
214,3938820911
215,2781205924
216,3234623755
217,3193156669
218,3066243587
219,3271902276
220,4809726119
221,3034171378
222,3213487509
223,3697411113
224,3356784455
225,4036208830
226,3983154123
227,3565319711
228,2823381234
229,3587499036
230,2887984476
231,3877346003
232,3736259071
233,2983166932
234,3511177193
235,2785393405
236,4158560218
237,3295989364
238,3766322368
239,3476145330
240,3788357476
241,3310903444
242,3429248878
243,4338643763
244,2984541353
245,4857581553
246,3842119874
247,4544337516
248,4450050799
249,3345892100
250,6489133816
251,4266638473
252,3745348476
253,4608393785
254,3547314303
255,3929513183
256,3218795110
257,3771253869
258,3582401295
259,3836803246
260,4539654255
261,3696847443
262,3756786402
263,3557014694
264,4589030728
265,2777922779
266,3355702204
267,3341731160
268,3500072105
269,3256849624
270,3761130243
271,3512800726
