EPOCH,AMOUNT
212,74256659
213,86796936
214,77229371
215,73244760
216,65674241
217,62239642
218,68513998
219,54484296
221,48259838
222,46354122
223,96409828
224,46281297
225,108191534
226,76900738
227,63636256
228,67295799
229,66853787
230,99596438
231,73459987
232,73686902
233,58859424
234,69275234
235,54955564
236,82048025
237,65029579
238,74309207
239,68584040
240,74409100
241,65031393
242,70184320
243,88793688
244,61079344
245,99411559
246,78629897
247,93000948
248,72560345
249,79648527
250,86957162
251,76543983
252,84284973
253,90682870
254,69798096
255,77326436
256,63340657
257,74212143
258,70495831
259,75502048
260,89333013
261,72747945
262,73927447
263,69996264
264,90304662
265,54665002
266,66034762
267,59335940
268,62151040
269,57836152
270,66791320
271,62381404
