EPOCH,AMOUNT
220,3055522
221,3676637
222,3198152
223,4853577
224,2330528
225,5449004
226,3873059
227,3205001
228,3389312
229,3367050
230,5016114
231,3699768
232,3711196
233,2964419
234,3489005
235,2767803
236,4132299
237,3275175
238,3742538
239,3454193
240,3764434
241,3289995
242,3407593
243,4311245
244,2965694
245,4826906
246,3817857
247,4515640
248,3662860
249,4020553
250,4389330
251,3863705
252,4254446
253,4577392
254,3523193
255,3903201
256,3197241
257,3746001
258,3558413
259,3811111
260,4509256
261,3672092
262,3731630
263,3533196
264,4558302
265,2759321
266,3333232
267,3319354
268,3476635
269,3235041
270,3735945
271,3489278
