EPOCH,AMOUNT
211,3638289692
212,3631920766
213,5704179177
214,6029407687
215,2793998112
216,3608360317
217,3587950026
218,3245107268
219,3768072636
220,3262969112
221,3730966714
222,3601617688
223,2446444222
224,3758210926
225,3298709442
226,2499304645
227,2812881029
228,4239206935
229,4195958856
230,4042749119
231,3349871447
232,3737905956
233,2985160508
234,3513156851
235,2786963602
236,4160904760
237,3297847600
238,3768445771
239,3478105135
240,3790493302
241,3312770088
242,3431182244
243,4341089833
244,2986223999
245,4860320194
246,3844286011
247,4546899554
248,3688216108
249,4048385570
250,4419714799
251,3890451131
252,4283897517
253,4609079217
254,3547582448
255,3930220485
256,3219374394
257,3771932309
258,3583045761
259,3837493478
260,4540470929
261,3697512497
262,3757462239
263,3557654593
264,4589856284
265,2778422521
266,3356305887
267,3342332330
268,3500701760
269,3257435524
270,3761806862
271,3513432671
